"Name","Description","Sale PRice","MRP","Measuring Unit","Category1","Sub Category1","Image1","Image2","Image3","Image4","Image5"
"Hyaluronic Acid in Vitamin C , 30 ml"," Contents : 2% Hyaluronic Acid, 10% Vitamin C , Key Benefits : Hydrates Skin, smootens skin
 texture anti ageing reduces dermatitis ","599","1800","UNT","Serums","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/c28f3680-101c-4781-a589-1419d24e35dc/Hyaluronic_Serum_in_vitamin_c.jpg","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/c28f3680-101c-4781-a589-1419d24e35dc/Hyaluronic_in_Vitamin__C__serum_PD.png","","",""
"Hyaluronic Serum, 30 ml"," Contents : 2% Hyaluronic Acid . Key Benefits : Hydrates Skin, smootens skin
 texture anti ageing reduces dermatitis
 ","550","1650","UNT","Serums","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/fd938690-f6f6-4482-a609-219dde84dfd9/Hyaluronic_Serum_in_vitamin_c.jpg","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/fd938690-f6f6-4482-a609-219dde84dfd9/Hyaluronic_serum_PD.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/fd938690-f6f6-4482-a609-219dde84dfd9/Hyaluronic_serum_-_1.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/fd938690-f6f6-4482-a609-219dde84dfd9/Hyaluronic_serum_-_3.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/fd938690-f6f6-4482-a609-219dde84dfd9/Hyaluronic_serum_-_4.png"
"Hydroquinone in Vitamin C Serum, 30 ml"," Contents :Hydroquinone 10%, Vitamin 'C'  . Benefits : Treat Hyperpigmentation. ","650","1950","UNT","Serums","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/52e49ed5-bf66-4bb6-b929-0f380e71469b/hydroquinone_in_Vit_C_serum.jpg","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/52e49ed5-bf66-4bb6-b929-0f380e71469b/Hydroquinone_in_vitamin__C__serum_1.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/52e49ed5-bf66-4bb6-b929-0f380e71469b/Hydroquinone_in_vitamin__C__serum_2.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/52e49ed5-bf66-4bb6-b929-0f380e71469b/Hydroquinone_in_vitamin__C__serum_3.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/52e49ed5-bf66-4bb6-b929-0f380e71469b/Hydroquinone_in_vitamin__C__serum_PD.png"
"Jessners Peel, 30 ml"," Content : Salicylic acid 14%, Lactic acid 14%, Resorcinol 7%, Citric acid 7%                             Key Benefits : Helps to reduce dark patches and age spots even out skin tone reduce the   appearance of scars smooth fine lines and  wrinkles and acne scars.  ","725","1300","UNT","Combination Peels","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/10a68bba-0ae5-4d67-89e3-c2d8c25f912b/Jessners_Peel.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/10a68bba-0ae5-4d67-89e3-c2d8c25f912b/Jessners_Peel_PD.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/10a68bba-0ae5-4d67-89e3-c2d8c25f912b/Jessner-1.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/10a68bba-0ae5-4d67-89e3-c2d8c25f912b/Jessner-2.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/10a68bba-0ae5-4d67-89e3-c2d8c25f912b/Jessner-4.png"
"Klingmanns Whitening Cream , 50 gms"," Contents : Hydroquinone 4% , Retinol 2%, Antibacterial agents qs                                                 Key Benefits : Treats  hyperpigmentation , melasma, sun  tan and diminishes acne spots
 under arm and body tan.  ","350","975","UNT","Creams","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/806c526f-6465-4779-b8eb-834eb504cd72/Klingmans_1.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/806c526f-6465-4779-b8eb-834eb504cd72/Klingmanns_Whitening_Cream_PD.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/806c526f-6465-4779-b8eb-834eb504cd72/Klingmans__2.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/806c526f-6465-4779-b8eb-834eb504cd72/Klingmans__3.png",""
"koh 20%","  ","395","","UNT","Misc","","","","","",""
"Koh 5% solution","  ","150","","UNT","Misc","","","","","",""
"KOH Solution, 30 ml"," Content : KOH 10%  Key Benefits : Topical 10% potassium hydroxide  aqueous solution applied twice daily on each  molluscum contagiosum lesion until all lesions  undergo inflammation and superficial ulceration  may be effective in clearing molluscum  contagiosum ","195","585","UNT","Peels","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/6fe02a5d-0a70-4fd2-b85c-1dc89f1aa321/KOH_Soln.jpg","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/6fe02a5d-0a70-4fd2-b85c-1dc89f1aa321/KOH_Solution_PD.png","","",""
"Kojic Fort Peel, 30 ml"," Contents : Glycolic acid 30%, Lactic acid 20%, Kojic acid 15%                                                           
Key Benefits : Kojic Fort Peel can lighten visible sun damage, age spots, or scars. This can result in an anti-aging effect on the skin. In addition to skin-lightening effects.
 ","899","1950","UNT","Combination Peels","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/1d5ed265-4c28-4f5b-aec7-412f1cacb974/kojic_fort.jpg","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/1d5ed265-4c28-4f5b-aec7-412f1cacb974/Kojic_Fort_Peel-1.png","","",""
"Kojic in Vitamin C Serum, 30 ml"," Contents : Kojic Acid 5%,
Vitamin C    Benefits : Decreases Formation of Melanin in the skin. ","650","1950","UNT","Serums","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/dced2714-89c3-4c20-80bd-60d97eeb7212/kojic_vitamin_c_serum.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/dced2714-89c3-4c20-80bd-60d97eeb7212/Kojic_in_Vitamin_C.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/dced2714-89c3-4c20-80bd-60d97eeb7212/Kojic_in_Vitamin_C_-__3.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/dced2714-89c3-4c20-80bd-60d97eeb7212/Kojic_in_Vitamin_C_-_1.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/dced2714-89c3-4c20-80bd-60d97eeb7212/Kojic_in_Vitamin_C_-_2.png"
